,Duration,Layers,Loglik,MSE,Trial
0,10.94020700454712,1,16.602646674551345,0.05181040042680454,0
1,104.36538195610046,2,17.72584816132562,0.030941119451776584,0
2,406.8248391151428,3,4.053730213483996,0.16214875659180145,0
3,28.300310134887695,1,21.781117542676597,0.08676128116765613,0
4,141.12846517562866,2,31.691612742192586,0.046453936091221525,0
5,534.4608960151672,3,30.34118559188419,0.040467040804939576,0
6,54.54091286659241,1,43.926223492795685,0.05982686575542269,0
7,1224.7162771224976,2,-82.3520551851905,0.03846688635935754,0
8,2522.642644882202,3,-32.144481888412884,0.03138881641196866,0
9,10.575263023376465,1,16.60264667450614,0.0518104004266179,1
10,107.10863995552063,2,17.725848248765704,0.03094111793675817,1
11,384.951740026474,3,5.600970259661771,0.16894347607714266,1
12,27.19217085838318,1,21.781117542301132,0.08676128116771875,1
13,145.78627800941467,2,31.691612693378257,0.046453935530645786,1
14,779.2032868862152,3,27.08662470324311,0.04513633116258984,1
15,52.86896014213562,1,43.92622349280284,0.059826865755403316,1
16,1474.766795873642,2,-82.35205529216465,0.03846688637166795,1
17,2588.1485588550568,3,-35.65893211558231,0.036125678752564006,1
